variable,dtype,count,unique,missing,pc_missing,standard_dev,max_num,min_num,max_len,min_len
Unnamed: 0,int64,10000,10000,0,0.0,0,10000.0,1.0,0,0
CaseOrder,int64,10000,10000,0,0.0,0,10000.0,1.0,0,0
Customer_id,object,10000,10000,0,0.0,0,0.0,0.0,0,0
Interaction,object,10000,10000,0,0.0,0,0.0,0.0,0,0
City,object,10000,6058,0,0.0,0,0.0,0.0,0,0
State,object,10000,52,0,0.0,0,0.0,0.0,0,0
County,object,10000,1620,0,0.0,0,0.0,0.0,0,0
Zip,int64,10000,8583,0,0.0,0,99929.0,601.0,0,0
Lat,float64,10000,8563,0,0.0,151,70.64066,17.96612,0,0
Lng,float64,10000,8655,0,0.0,102,-65.66785,-171.68815,0,0
Population,int64,10000,5933,0,0.0,219,111850.0,0.0,0,0
Area,object,10000,3,0,0.0,0,0.0,0.0,0,0
Timezone,object,10000,25,0,0.0,0,0.0,0.0,0,0
Job,object,10000,639,0,0.0,0,0.0,0.0,0,0
Children,float64,10000,12,2495,24.95,0,10.0,0.0,0,0
Age,float64,10000,73,2475,24.75,0,89.0,18.0,0,0
Education,object,10000,12,0,0.0,0,0.0,0.0,0,0
Employment,object,10000,5,0,0.0,0,0.0,0.0,0,0
Income,float64,10000,7507,2490,24.9,0,258900.7,740.66,0,0
Marital,object,10000,5,0,0.0,0,0.0,0.0,0,0
Gender,object,10000,3,0,0.0,0,0.0,0.0,0,0
Churn,object,10000,2,0,0.0,0,0.0,0.0,0,0
Outage_sec_perweek,float64,10000,9993,0,0.0,491,47.04928,-1.348571,0,0
Email,int64,10000,23,0,0.0,12,23.0,1.0,0,0
Contacts,int64,10000,8,0,0.0,165,7.0,0.0,0,0
Yearly_equip_failure,int64,10000,6,0,0.0,94,6.0,0.0,0,0
Techie,object,10000,3,2477,24.77,0,0.0,0.0,0,0
Contract,object,10000,3,0,0.0,0,0.0,0.0,0,0
Port_modem,object,10000,2,0,0.0,0,0.0,0.0,0,0
Tablet,object,10000,2,0,0.0,0,0.0,0.0,0,0
InternetService,object,10000,3,2129,21.29,0,0.0,0.0,0,0
Phone,object,10000,3,1026,10.26,0,0.0,0.0,0,0
Multiple,object,10000,2,0,0.0,0,0.0,0.0,0,0
OnlineSecurity,object,10000,2,0,0.0,0,0.0,0.0,0,0
OnlineBackup,object,10000,2,0,0.0,0,0.0,0.0,0,0
DeviceProtection,object,10000,2,0,0.0,0,0.0,0.0,0,0
TechSupport,object,10000,3,991,9.91,0,0.0,0.0,0,0
StreamingTV,object,10000,2,0,0.0,0,0.0,0.0,0,0
StreamingMovies,object,10000,2,0,0.0,0,0.0,0.0,0,0
PaperlessBilling,object,10000,2,0,0.0,0,0.0,0.0,0,0
PaymentMethod,object,10000,4,0,0.0,0,0.0,0.0,0,0
Tenure,float64,10000,9066,931,9.31,0,71.99928,1.00025934,0,0
MonthlyCharge,float64,10000,9984,0,0.0,3,315.8786,77.50523,0,0
Bandwidth_GB_Year,float64,10000,8973,1021,10.21,0,7158.982,155.5067148,0,0
item1,int64,10000,7,0,0.0,19,7.0,1.0,0,0
item2,int64,10000,7,0,0.0,13,7.0,1.0,0,0
item3,int64,10000,8,0,0.0,13,8.0,1.0,0,0
item4,int64,10000,7,0,0.0,9,7.0,1.0,0,0
item5,int64,10000,7,0,0.0,12,7.0,1.0,0,0
item6,int64,10000,8,0,0.0,13,8.0,1.0,0,0
item7,int64,10000,7,0,0.0,11,7.0,1.0,0,0
item8,int64,10000,8,0,0.0,15,8.0,1.0,0,0
