Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
1,1,K409198,aa90260b-4141-4a24-8e36-b04ce1f4f77b,Point Baker,AK,Prince of Wales-Hyder,99927,56.251,-133.37571,38,Urban,America/Sitka,Environmental health practitioner,0.0,68.0,Master's Degree,Part Time,28561.99,Widowed,Male,No,6.972566093,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),6.795512947,171.4497621,904.5361102,5,5,5,3,4,4,3,4
2,2,S120509,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,West Branch,MI,Ogemaw,48661,44.32893,-84.2408,10446,Urban,America/Detroit,"Programmer, multimedia",1.0,27.0,Regular High School Diploma,Retired,21704.77,Married,Female,Yes,12.01454108,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4
3,3,K191035,344d114c-3736-4be5-98f7-c72c281e2d35,Yamhill,OR,Yamhill,97148,45.35589,-123.24657,3735,Urban,America/Los_Angeles,Chief Financial Officer,4.0,50.0,Regular High School Diploma,Student,39913.72141833548,Widowed,Female,No,10.24561565,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),15.75414408,159.4403984,2054.706961,4,4,2,4,4,3,3,3
4,4,D90850,abfa2b40-2d43-4994-b15a-989b8c79e311,Del Mar,CA,San Diego,92014,32.96687,-117.24798,13863,Suburban,America/Los_Angeles,Solicitor,1.0,48.0,Doctorate Degree,Retired,18925.23,Married,Male,No,15.20619309,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3
5,5,K662701,68a861fd-0d20-4e51-a587-8a90407ee574,Needville,TX,Fort Bend,77461,29.38012,-95.80673,11352,Suburban,America/Chicago,Medical illustrator,0.0,83.0,Master's Degree,Student,40074.19,Separated,Male,Yes,8.960316419,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5
6,6,W303516,2b451d12-6c2b-4cea-a295-ba1d6bced078,Fort Valley,GA,Peach,31030,32.57032,-83.8904,17701,Urban,America/New_York,Chief Technology Officer,3.0,83.0,No Schooling Completed,Full Time,39913.72141833548,Never Married,Female,No,7.814858954,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3
7,7,U335188,6630d501-838c-4be4-a59c-6f58c814ed6a,Pioneer,TN,Scott,37847,36.4342,-84.27892,2535,Suburban,America/New_York,"Surveyor, hydrographic",0.0,53.0,Associate's Degree,Full Time,11467.5,Widowed,Male,Yes,11.12909443,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.0648859,1907.242972,6,5,6,4,1,5,5,5
8,8,V538685,70ddaa89-b726-49dc-9022-2d655e4c7936,Oklahoma City,OK,Oklahoma,73109,35.43313,-97.52463,23144,Suburban,America/Chicago,Sales promotion account executive,2.0,53.0,Bachelor's Degree,Full Time,26759.64,Married,Female,Yes,7.594838367,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,34.548570625241126,114.7541111,979.6127078,2,2,2,5,2,3,4,5
11,11,J980369,89490f4b-765f-431a-b302-580aae7db71a,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,39913.72141833548,Separated,Female,No,11.83511269,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4
12,12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,783,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,34.548570625241126,148.3640874,1180.588788,4,4,3,4,4,4,3,4
13,13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3
16,16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093,Suburban,America/Chicago,Amenity horticulturist,0.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2
17,17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079,Urban,America/Los_Angeles,Applications developer,0.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
18,18,F721878,5c3548de-4744-4167-9412-3f018262bab2,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249,Rural,America/New_York,Immunologist,0.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.21790303,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,34.548570625241126,203.0695973,882.0985933,2,2,4,3,3,4,3,3
19,19,F487435,200fad69-1e40-4de6-9222-df84d8925000,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.10106846,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
20,20,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,Trafford,AL,Blount,35172,33.84469,-86.6974,3177,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.08853215,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
21,21,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,Kaneville,IL,Kane,60144,41.83594,-88.5206,69,Rural,America/Chicago,Counsellor,4.0,53.0,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.18669792,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
23,23,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,Mallard,IA,Palo Alto,50562,42.96153,-94.64179,381,Urban,America/Chicago,"Designer, multimedia",0.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.970974396,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5
